,macx,macy,macz,mfacx,mfacy,mfacz,mfaxz,mfayz,cou,fcou,peakx,peaky,peakz,stdx,stdy,stdz,stdav,dix,diy,diz,maxi,may,maz,mix,miy,miz,specx,specy,specz,spec
0,2.367785481818182,-9.38588696969697,-0.8023610252525252,600.3383088087882,625.2607325319455,357.78261905939246,1.6779415120473784,1.7475995177623518,6.6831185744524335,580.2993058045482,47.8,46.6,49.625,5.631173533071886,2.6258305764383376,4.782941475425937,4.346648528312053,5.686552787602785,4.379931600943016,1.3556182439786864,18.102,-1.8938099999999998,19.56,-17.5196,-19.410999999999998,-16.8408,644.7881609062334,544.7646821768815,540.3157948877137,576.6228793236096
1,1.17934406969697,-9.243441313131314,-0.7571424141414141,240.1314876471529,195.72313125449705,149.1208076769108,1.6103150954454881,1.3125138892659172,5.633982842625894,210.31779109209089,55.0,53.5,48.75,1.8554795860282853,2.0381440397516175,2.578731878313604,2.1574518346978357,6.734577800898931,4.253214612590165,1.375706130797539,9.15782,-4.16531,2.32238,-2.3116,-14.9261,-8.1331,215.03446863020181,196.99716316798046,64.47707982293655,158.8362372070396
2,3.348200687878788,-8.277924848484847,-2.2579680000000004,254.74196352305125,151.0839719004499,126.43606756932229,2.014788726194616,1.1949436169992687,5.596692013902816,195.55433029699313,47.0,48.0,37.0,2.6009126807107275,2.4121295005863,1.8585506508273668,2.2905309440414645,4.855193752429418,3.4348752974910397,1.4396220314358004,9.15782,-4.16531,1.4502899999999999,-2.3116,-14.9261,-8.1331,252.55305465861238,150.07216925913,124.75223645085417,175.79248678953218
3,6.790040464646465,-6.067269393939394,-1.8232631161616162,230.75083617456607,138.74906124270558,144.96979389673461,1.591716660223269,0.9570894564528373,5.644520197204632,186.16057681781098,56.25,68.0,63.666666666666664,3.076134748188951,2.148810996146294,0.7958112916935379,2.0069190120095945,2.390789949319891,2.155766461886416,1.2650401052479252,14.215,-2.86646,-0.056862300000000005,0.49320600000000003,-10.2208,-4.91111,222.30564735201253,144.3460470364518,150.59818434094106,172.41662624313514
4,8.93822595959596,-4.186436868686869,-1.9307785707070704,188.18926425862983,107.01539092460273,129.94716434419283,1.4481983135866694,0.8235300205639702,5.785499657836876,152.94849135433822,55.0,50.5,44.0,1.8109512759766488,0.7822889351963244,0.6541273958683538,1.0824558690137758,2.1418779011851594,2.2413946661299913,1.2960454986314758,14.215,-2.86646,-0.056862300000000005,4.85424,-6.642110000000001,-3.07356,188.13916273135234,107.79833113358262,128.86534195908516,141.60094527467336
5,9.118329494949496,-3.538853838383838,-2.261668111111111,148.13270374143235,100.51370780391042,111.75858141446126,1.325470508542661,0.8993824593312547,5.751395097252988,129.13396424708606,46.857142857142854,48.6,43.8,0.5277402220452704,0.5737554533808429,0.39499189809176993,0.4988291911726277,2.2017770173308033,2.5146520302838624,1.441638055330663,10.3076,-2.1080900000000002,-0.9816229999999999,7.905060000000001,-4.54539,-3.07356,147.09823052083934,100.3894495659879,110.9973151730581,119.49499841996179
6,8.888256868686868,-3.981067878787879,-2.0529491313131314,124.39239710740468,101.82060394875687,108.72337178465808,1.1441182798651728,0.9365107269707095,5.7602647000352185,118.3794346801479,43.4,48.25,55.57142857142857,1.1903998084776088,1.353954982709762,0.5685983406768592,1.0376510439547435,2.1278079853282983,2.314681305387844,1.340980101983146,12.3571,-1.81899,-0.720056,6.081869999999999,-6.775589999999999,-2.82815,123.89196231982005,101.31075331815241,109.11678118667851,111.43983227488366
7,7.7081813131313135,-6.294682323232323,-1.7148346363636362,112.35864089865127,91.92575124564884,104.30279205017207,1.0772352176785849,0.8813354795088363,5.91569545599883,109.74855450429175,45.833333333333336,47.4,54.666666666666664,1.6782017769219328,2.0017110136993574,0.7253530271930839,1.4684219392714581,2.073509122762093,2.2289529626307347,1.2418194635558621,12.3571,-1.81899,-0.162207,4.60046,-10.7727,-3.09271,113.38321240187302,90.9717145691646,102.53806339332469,102.29766345478744
8,7.390870303030303,-6.506956161616161,-1.8797686565656564,91.03267142110097,75.67076254264569,84.56674140755399,1.0764594911182117,0.8948052305570608,5.834499931356846,90.1048288783974,52.857142857142854,53.285714285714285,50.0,1.2126653720439342,1.8692500942354957,0.7386901162910083,1.273535194190146,2.1518236180629837,2.3110166565592674,1.2804532176240586,9.73363,-1.61309,-0.162207,4.60046,-10.7727,-3.52426,90.16522407999095,76.88703034285625,80.50306351165008,82.5184393114991
9,8.199722626262627,-5.617794949494949,-1.820397219191919,82.86471153712144,58.32596554723132,62.020680613168786,1.3360819442463012,0.9404276923534282,5.889056970016352,73.04314660516948,52.142857142857146,53.6,53.8,1.1360679436428531,1.829234662570177,0.6719305465966269,1.2124110509365524,2.0282983036283135,2.0632414942467054,1.2643137896121237,11.1995,-1.61309,0.071826,5.485119999999999,-9.69293,-3.52426,83.82714560008662,53.821158095929185,62.58126272702382,66.74318880767987
10,8.333979797979799,-5.68697282828283,-1.493842421212121,83.49405953243576,58.82405716193323,56.830424688773405,1.4691788771539769,1.0350803726010807,5.948842527858191,71.3555661977247,50.142857142857146,44.42857142857143,42.714285714285715,1.287953097376758,1.7858595192740945,0.5922902397584467,1.2220342854697663,2.0328427663453,2.0726271244896792,1.2183320414275585,11.1995,-2.642,0.071826,5.485119999999999,-9.69293,-2.53307,84.16659442963812,55.41830904609963,57.73332536863682,65.77274294812486
11,8.297660303030302,-5.063972686868686,-1.6568660707070708,69.34184170764976,62.249364389531074,56.29878805989318,1.2316755670456139,1.1056963486195726,5.769162512095063,66.93638857214626,43.57142857142857,48.6,54.2,2.245508547798757,1.8658035433155176,0.7114200079812952,1.60757736636519,2.030769966940754,2.0537780659472653,1.2324438128872532,15.1906,-0.10654200000000001,-0.281319,2.8892,-8.15525,-3.6194300000000004,69.24865044305754,57.643429933544134,60.083866775115276,62.325315717238986
12,8.276105656565658,-4.267803787878788,-2.1220494646464645,57.5949627089716,55.48269176125043,52.745068202323566,1.0919497248168195,1.0519029295483262,5.600291273066006,58.84553201345569,53.285714285714285,48.5,50.714285714285715,2.236265894813807,1.9910252809176323,0.8611819871103668,1.6961577209472687,2.0298518196231767,2.215664595116248,1.3715628424811044,15.1906,-0.10654200000000001,-0.281319,2.8892,-8.15525,-4.55198,57.61185384302019,50.63667246788058,53.81448035202464,54.021002220975134
13,8.40663494949495,-5.005568373737374,-1.8678709797979796,58.84733190721883,49.237884991690976,43.8341417175462,1.3424999236077904,1.1232770407360737,5.827488241104018,54.2169566158259,49.333333333333336,52.0,49.857142857142854,1.2356990846254559,2.286487451630432,0.8714912530256872,1.4645592630938582,2.0388495170912155,2.0588397928174853,1.2770249611823483,11.8357,-0.9498989999999999,-0.20410599999999998,5.43185,-10.6285,-4.55198,59.39927488418017,49.47755751949899,45.026471119893415,51.301101174524185
14,8.767959797979799,-6.261538888888889,-1.2947312434343434,52.504235439240965,47.24469967914563,42.38591400503949,1.238718962931847,1.1146320844592017,6.285418558285486,50.411265123818474,53.57142857142857,52.6,57.0,1.4693287961239823,1.7140763483478303,0.6086427272954124,1.2640159572557417,2.097976409417387,2.2173002008574043,1.226672019175308,13.0849,-1.36469,0.032920300000000007,5.88375,-10.6285,-2.50673,52.837483816405026,48.75253414267045,43.49330099986587,48.36110631964712
15,8.68409595959596,-6.057022323232324,-1.3800096272727276,51.807810314037035,41.05077739188634,41.388916341884645,1.2517314994693085,0.9918302052847875,6.1745273829803855,47.609322335772625,45.857142857142854,54.6,47.2,1.447871394784841,1.304508351610627,0.7403630710503776,1.1642476058152817,2.080345254797181,2.1528331769817086,1.2197697696107181,13.0849,-3.5817300000000003,0.23882199999999998,5.26365,-9.77732,-2.8652599999999997,51.56265031303966,41.458583426173185,40.27630223481368,44.432511991342174
16,8.400787272727273,-5.001203282828282,-1.6065880272727273,50.100224636736684,36.11186445259552,33.24599218115853,1.5069553155080733,1.0862020377018908,5.759101564175362,42.831375014776015,51.714285714285715,58.75,46.75,1.8138482402567366,1.869869494727389,0.8253030877680615,1.5030069409173956,2.0382753791271346,2.059274965231058,1.2261227666781669,15.0362,-0.694917,0.23882199999999998,4.85604,-9.60135,-3.44466,49.15149751626043,36.20496783209878,32.21968637667164,39.192050575010285
17,8.436990707070708,-5.048319444444444,-1.4472950671717173,42.71849493450608,37.96727478363697,28.507766706619904,1.4984861976082555,1.3318221372570875,5.799223276219338,39.05534819123594,37.142857142857146,56.6,48.833333333333336,1.9494896818016285,2.074307417415936,0.8719570695811295,1.6319180562662314,2.042037611060638,2.0550145195024245,1.2177156564794052,15.0362,-0.694917,0.96606,4.85604,-9.60135,-3.44466,41.9712308902055,40.3172974001659,28.220475252008796,36.83633451412673
18,8.222348686868687,-4.665470808080808,-1.4270771398989897,35.58887121462099,37.36152364225377,30.578936795460013,1.1638361219905065,1.221805842765624,5.596118442722396,37.16391183558922,45.333333333333336,50.714285714285715,50.0,1.5300878693693396,1.9432238146834457,1.0855898439389176,1.519633842663901,2.0284952558194216,2.1120506993272383,1.2180389985222244,12.0237,-1.7178400000000003,1.2054799999999999,5.18225,-9.39066,-3.8899800000000004,35.48607397462337,40.837105700168834,33.45444259087317,36.5925407552218
19,8.421188888888887,-5.036680707070707,-1.4716055696969699,34.74809035834025,36.044865263917885,33.29053741565734,1.0437828000336633,1.082736058414158,5.802339962924772,37.327968994198685,53.625,45.666666666666664,38.44444444444444,1.569591394457593,2.0707106889402533,1.13120743667687,1.5905031733582387,2.0403103555836677,2.05600291279653,1.2178063972687028,11.5143,-1.7178400000000003,1.2054799999999999,5.18225,-8.823830000000001,-3.8899800000000004,34.50799111667991,37.01980882661552,35.21575689369308,35.581185612329506
20,8.856014444444446,-5.782250404040405,-1.316992206060606,44.47376466738048,29.3994872550964,36.97690006678143,1.2027445401604644,0.7950771211756532,6.190483434178166,39.818560321206995,43.0,46.666666666666664,38.833333333333336,1.533591682923379,1.73260893866191,0.8397334496240625,1.3686446904031173,2.119264036798089,2.088466925472307,1.2244609497882046,11.6646,-2.0063400000000002,0.6877340000000001,5.9873,-8.823830000000001,-3.20823,45.064037038699915,30.17682070496672,35.85326585775689,37.03137453380784
21,8.686834646464646,-5.238561111111111,-1.3906076969696972,46.51195999872588,25.867021424025918,35.21276836758341,1.3208833657493517,0.7345920989228126,5.937812673410295,38.78364861988778,46.0,44.25,45.5,1.3602987259491257,1.5848307629821947,0.7705757396971253,1.2385684095428153,2.0808847907001713,2.044770304870336,1.2192243576965094,11.6646,-2.0063400000000002,0.0831985,5.9873,-8.570039999999999,-3.5111,47.46002112621576,25.324867543535433,33.72585226637743,35.50358031204287
22,8.370243030303032,-5.357866464646464,-1.3312546565656564,33.99661252344347,24.723149454237088,30.267385129420042,1.1232094341178682,0.8168247553769047,5.83246472788828,32.32914234253669,46.42857142857143,56.25,51.0,1.4902420524938627,1.772928721625968,0.9128699540867621,1.3920135760688641,2.0355514828589496,2.044690408563817,1.2232019513368984,12.6575,-1.57538,1.2719200000000002,5.74249,-8.0535,-3.5111,34.722904824157766,25.196253885664724,30.809494612705734,30.242884440842744
23,8.39367272727273,-4.59591797979798,-1.3044771313131314,30.87249632161367,25.87185496268267,30.906746005318873,0.9988918379275739,0.8370941074880633,5.64455374864807,31.346132131840026,59.285714285714285,56.166666666666664,52.5,1.8952729429862587,1.9242240623391051,0.8945057599880342,1.571334255104466,2.0375929715600027,2.1275280514697896,1.225667362315758,12.6575,-1.38804,1.2719200000000002,2.8862099999999997,-8.0535,-3.4452599999999998,30.95803738727825,26.324081260344357,31.619822756118552,29.63398046791372
24,8.551829696969696,-4.5411172727272735,-1.4862493232323233,36.14603481723723,31.049110955184393,32.499108880217456,1.112216182617847,0.9553834558855954,5.687618286208126,35.50839402983364,48.625,53.666666666666664,63.0,1.5948770475978558,1.5021556839185894,0.7443613269671656,1.2804646861612037,2.0573045990301497,2.1405331873957794,1.218125032656099,11.6795,-1.38804,1.02053,2.8862099999999997,-7.37953,-2.75752,35.376211817346025,30.85948265821908,32.56573646308867,32.933810312884596
25,8.41323717171717,-4.604684040404041,-1.5816125151515152,40.182882270778045,28.20519086914714,29.77270378619177,1.3496551256931657,0.9473506696502444,5.641037109177815,35.532016350705845,48.57142857142857,48.0,49.3,1.8431728182258296,1.3889534654478655,1.008584697150712,1.4135703269414692,2.039504398926648,2.1255153279026824,1.223745527094474,14.8153,-1.5179200000000002,1.7447700000000002,4.9147,-9.25718,-4.20482,41.08110799145603,28.347916466398686,30.70257333375117,33.37719926386863
26,8.335781313131312,-5.307865757575757,-1.3223007969696972,35.23148826089157,26.260730067481248,29.088793253033334,1.2111704997324935,0.902778256871925,5.812347918028414,32.70476247955669,47.8,53.5,49.22222222222222,2.0901484862470663,1.8404916399229976,1.0621324229803641,1.6642575163834763,2.0329613550150456,2.0441203077453864,1.2239805068483698,14.8153,-1.5179200000000002,1.7447700000000002,4.9147,-9.67676,-4.20482,35.85417380950865,26.6787555566375,30.26088037654936,30.931269914231837
27,8.374564848484848,-4.8608938484848485,-1.3275542161616158,29.923236305292505,23.46653700147446,32.5861674470583,0.918280321056713,0.7201379861439609,5.707247750098195,30.898392495304602,45.0,50.6,42.714285714285715,2.0093665757748482,2.1765408879426573,0.821522624381291,1.669143362699599,2.035915277733694,2.0767470086634856,1.2235198746803901,12.7557,-0.994791,0.09876080000000001,4.405930000000001,-9.59297,-2.89698,29.489317224554714,24.164174229311577,33.99846817627935,29.21731987671522
28,8.093113232323232,-4.605609101010101,-1.2849241131313132,30.100416085904726,22.31493281063061,27.3501705068439,1.1005567982975692,0.8158973928534262,5.504551997391449,28.444279117160267,56.22222222222222,53.833333333333336,43.666666666666664,1.8567404525792226,2.2248170666144214,0.8913819995502064,1.65764650624795,2.02989533644861,2.1253041028054103,1.227762405652349,12.7557,-0.994791,0.38307199999999997,4.405930000000001,-11.0397,-3.20404,30.08519002322333,21.744509639390895,28.05725167606994,26.628983779561384
29,8.437497474747476,-5.000549898989899,-1.4452754222222222,27.32022785904044,20.883655917044226,23.571964934059874,1.1590135966800368,0.8859531216622835,5.7963801845142795,25.47937936389876,42.875,47.833333333333336,42.57142857142857,1.7090024039419842,2.0064750116572694,1.0231669133582566,1.5795481096525033,2.042095948642656,2.059340675560155,1.2177325505165508,13.610999999999999,-1.8746599999999998,0.38307199999999997,5.2032,-11.0397,-3.8091800000000005,27.10680569836539,20.698164255601963,24.190675913080224,23.99854862234919
30,8.707397474747474,-4.384980525252526,-1.7721142737373736,25.216705483722023,21.891204003266598,25.24337548434469,0.9989434851674569,0.8672058939519787,5.748414238272505,26.22966986332636,54.875,51.375,48.0,1.7202763747919578,1.6524857819029308,0.903532913053462,1.4254316899161168,2.0850270216114333,2.1812431374849064,1.2530705726767997,13.610999999999999,-0.40102899999999997,0.11133,4.88836,-8.76098,-3.8091800000000005,25.55649705067275,21.021663166009652,27.501620512591106,24.69326024309117
31,8.465010101010101,-4.950042444444445,-1.4280324575757575,27.180984337009388,22.25902635904161,24.750443396580156,1.0982019150721585,0.8993384887042956,5.752870759442346,26.98592371137513,47.666666666666664,52.4,53.42857142857143,1.420109363035396,1.7087852527165017,0.814251352651613,1.3143819894678368,2.0453754611619033,2.0647808395530247,1.2180172455580471,11.3377,-0.40102899999999997,0.253785,4.88836,-8.6287,-3.47758,27.71274710728419,21.48677894588352,27.758072732046397,25.6525329284047
32,8.35840707070707,-5.21085292929293,-1.3156682656565657,29.2762482749805,19.707302622204352,23.708294009498907,1.234852590542818,0.8312408566516204,5.799505230408704,25.93933783234135,45.125,53.8,50.111111111111114,1.5717951857966226,2.015836538263078,0.8590257885174478,1.4822191708590493,2.034606380155764,2.0455570630913824,1.2245835538573588,12.958,-1.03669,0.253785,5.3666,-9.58878,-4.3335099999999995,29.92619762937151,19.678786831211827,24.13970172060584,24.581562060396394
33,8.49347292929293,-4.859812525252526,-1.351889692929293,29.274499967871787,21.690438501041598,27.90771060118519,1.0489753310910623,0.7772202747480277,5.769838231384939,28.154598927788864,51.142857142857146,34.8,45.0,1.5757933085943128,2.09503455770314,0.9983471418840065,1.5563916693938198,2.0490489281531317,2.0769041610794847,1.2215822578287616,12.958,-1.03669,1.23301,5.3666,-9.58878,-4.3335099999999995,30.051990339897042,21.432524558529146,25.237979764968504,25.57416488779823
34,8.221905858585858,-4.847412323232323,-1.314259521212121,30.356348321154687,23.215953215775013,29.20249079309652,1.0395122983252834,0.7949990766288769,5.621532660723776,29.60095015034849,50.8,52.6,51.4,1.4480721473648188,1.926114313426784,0.9503600289187705,1.4415154965701245,2.0284901770110983,2.078759545920942,1.224715974394802,12.5133,-1.09176,1.23301,3.29622,-8.40963,-3.6068599999999997,30.347847614515658,22.18133901118098,26.959722558622225,26.49630306143962
35,8.297664646464646,-4.79259909090909,-1.4326760505050506,34.45194365753266,25.3181791032934,29.204738032478122,1.1796696693262307,0.8669202605117518,5.642908573246287,31.995693689591395,53.0,52.2,46.0,2.103395072222795,1.6769701890450046,0.9812304134624366,1.5871985582434123,2.0307701784805676,2.087493133919844,1.2179194093196353,12.732999999999999,-1.09176,0.990002,2.73597,-8.40963,-4.33171,34.23400996997686,24.12396760046464,29.78299140012416,29.380322990188557
36,8.858157777777777,-4.8716619191919195,-1.560463561616162,37.1759092496106,27.1886287889923,32.30882267498779,1.1506426471674165,0.8415233530016759,5.931830588056227,35.13759815728277,49.42857142857143,47.4,56.0,2.1508731806227757,1.7337986991141308,0.9914704665850766,1.6253807821073278,2.119819401194743,2.075188105265175,1.222020502628435,12.7635,-1.96205,0.990002,2.73597,-8.96688,-4.33171,36.92411369002852,27.342171022322017,33.226210140370874,32.49749828424047
37,8.368777676767678,-5.178531111111111,-1.4183887626262621,38.26539398301668,30.139575707922887,31.100769556207712,1.230368075422073,0.9690942101433316,5.777154520488373,35.75196794603035,51.75,54.8,55.0,1.8028185645445076,1.8741312988871575,0.8685829614791589,1.515177608303608,2.0354298068962873,2.046844941879261,1.2182563279141834,12.7635,-1.16119,0.85054,4.86143,-8.96688,-3.36385,38.4365722920646,30.025077478797506,31.94579238645752,33.469147385773205
38,8.393593333333333,-5.106475151515151,-1.2569433141414141,34.751670797407776,28.54183750089069,28.395452356571433,1.223846352613761,1.0051552319885961,5.7587759737091435,32.53950326066566,42.0,48.0,54.0,1.7461206395211115,1.6954771264299613,0.8856338427853485,1.4424105362454738,2.0375855393632722,2.0507885622065047,1.2312485205847215,12.2056,-1.16119,0.9373299999999999,4.82491,-8.28154,-3.15675,34.66198810735938,27.875402970963655,26.917110535975837,29.818167204766286
